,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex,group_index,sentence1_edited,sentence2_edited,gold_label_edited
0,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sunhat staring at people on a subway.,entailment,hat,sunhat,0,There is a man wearing a hat staring at people on a subway.,There is a man wearing a sunhat staring at people on a subway.,neutral
1,There is a man not wearing a sunhat staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sunhat,hat,0,There is a man wearing a sunhat staring at people on a subway.,There is a man wearing a hat staring at people on a subway.,entailment
2,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sombrero staring at people on a subway.,entailment,hat,sombrero,0,There is a man wearing a hat staring at people on a subway.,There is a man wearing a sombrero staring at people on a subway.,neutral
3,There is a man not wearing a sombrero staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sombrero,hat,0,There is a man wearing a sombrero staring at people on a subway.,There is a man wearing a hat staring at people on a subway.,entailment
4,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a fedora staring at people on a subway.,entailment,hat,fedora,0,There is a man wearing a hat staring at people on a subway.,There is a man wearing a fedora staring at people on a subway.,neutral
5,There is a man not wearing a fedora staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,fedora,hat,0,There is a man wearing a fedora staring at people on a subway.,There is a man wearing a hat staring at people on a subway.,entailment
6,Some dishes do not have rice.,Some dishes do not have food.,neutral,rice,food,1,Some dishes have rice.,Some dishes have food.,entailment
7,Some dishes do not have food.,Some dishes do not have rice.,entailment,food,rice,1,Some dishes have food.,Some dishes have rice.,neutral
8,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a work-shirt, is sitting on a rock",entailment,shirt,work-shirt,2,"A man, wearing a shirt, is sitting on a rock","A man, wearing a work-shirt, is sitting on a rock",neutral
9,"A man, not wearing a work-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,work-shirt,shirt,2,"A man, wearing a work-shirt, is sitting on a rock","A man, wearing a shirt, is sitting on a rock",entailment
