,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex,group_index,sentence1_edited,sentence2_edited,gold_label_edited
0,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sunhat staring at people on a subway.,entailment,hat,sunhat,0,"There is a man not staring at people on a subway, and he is wearing a hat.","There is a man not staring at people on a subway, and he is wearing a sunhat.",neutral
1,There is a man not wearing a sunhat staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sunhat,hat,0,"There is a man not staring at people on a subway, and he is wearing a sunhat.","There is a man not staring at people on a subway, and he is wearing a hat.",entailment
2,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sombrero staring at people on a subway.,entailment,hat,sombrero,0,"There is a man not staring at people on a subway, and he is wearing a hat.","There is a man not staring at people on a subway, and he is wearing a sombrero.",neutral
3,There is a man not wearing a sombrero staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sombrero,hat,0,"There is a man not staring at people on a subway, and he is wearing a sombrero.","There is a man not staring at people on a subway, and he is wearing a hat.",entailment
4,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a fedora staring at people on a subway.,entailment,hat,fedora,0,"There is a man not staring at people on a subway, and he is wearing a hat.","There is a man not staring at people on a subway, and he is wearing a fedora.",neutral
5,There is a man not wearing a fedora staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,fedora,hat,0,"There is a man not staring at people on a subway, and he is wearing a fedora.","There is a man not staring at people on a subway, and he is wearing a hat.",entailment
6,Some dishes do not have rice.,Some dishes do not have food.,neutral,rice,food,1,Some dishes have rice that is not healthy.,Some dishes have food that is not healthy.,entailment
7,Some dishes do not have food.,Some dishes do not have rice.,entailment,food,rice,1,Some dishes have food that is not healthy.,Some dishes have rice that is not healthy.,neutral
8,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a work-shirt, is sitting on a rock",entailment,shirt,work-shirt,2,"A man, not sitting on a rock, wearing a shirt.","A man, not sitting on a rock, wearing a work-shirt.",neutral
9,"A man, not wearing a work-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,work-shirt,shirt,2,"A man, not sitting on a rock, wearing a work-shirt.","A man, not sitting on a rock, wearing a shirt.",entailment
10,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a T-shirt, is sitting on a rock",entailment,shirt,t-shirt,2,"A man, not sitting on a rock, wearing a shirt.","A man, not sitting on a rock, wearing a t-shirt.",neutral
11,"A man, not wearing a T-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,t-shirt,shirt,2,"A man, not sitting on a rock, wearing a t-shirt.","A man, not sitting on a rock, wearing a shirt.",entailment
12,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a work-shirt is walking holding a tree branch near the park.,entailment,shirt,work-shirt,3,The boy with a shirt is not holding a tree branch near the park.,The boy with a work-shirt is not holding a tree branch near the park.,neutral
13,A boy not wearing a work-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,work-shirt,shirt,3,The boy with a work-shirt is not holding a tree branch near the park.,The boy with a shirt is not holding a tree branch near the park.,entailment
14,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a T-shirt is walking holding a tree branch near the park.,entailment,shirt,t-shirt,3,The boy with a shirt is not holding a tree branch near the park.,The boy with a t-shirt is not holding a tree branch near the park.,neutral
15,A boy not wearing a T-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,t-shirt,shirt,3,The boy with a t-shirt is not holding a tree branch near the park.,The boy with a shirt is not holding a tree branch near the park.,entailment
16,The three children are not holding plants.,The three children are not holding daisies.,entailment,plants,daisies,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding daisies.",neutral
17,The three children are not holding daisies.,The three children are not holding plants.,neutral,daisies,plants,4,"The three children are not in the classroom, but they are holding daisies.","The three children are not in the classroom, but they are holding plants.",entailment
18,The three children are not holding plants.,The three children are not holding herbs.,entailment,plants,herbs,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding herbs.",neutral
19,The three children are not holding herbs.,The three children are not holding plants.,neutral,herbs,plants,4,"The three children are not in the classroom, but they are holding herbs.","The three children are not in the classroom, but they are holding plants.",entailment
20,The three children are not holding plants.,The three children are not holding lilies.,entailment,plants,lilies,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding lilies.",neutral
21,The three children are not holding lilies.,The three children are not holding plants.,neutral,lilies,plants,4,"The three children are not in the classroom, but they are holding lilies.","The three children are not in the classroom, but they are holding plants.",entailment
22,The three children are not holding plants.,The three children are not holding flowers.,entailment,plants,flowers,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding flowers.",neutral
23,The three children are not holding flowers.,The three children are not holding plants.,neutral,flowers,plants,4,"The three children are not in the classroom, but they are holding flowers.","The three children are not in the classroom, but they are holding plants.",entailment
24,The three children are not holding plants.,The three children are not holding poppies.,entailment,plants,poppies,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding poppies.",neutral
25,The three children are not holding poppies.,The three children are not holding plants.,neutral,poppies,plants,4,"The three children are not in the classroom, but they are holding poppies.","The three children are not in the classroom, but they are holding plants.",entailment
26,The three children are not holding plants.,The three children are not holding saplings.,entailment,plants,saplings,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding saplings.",neutral
27,The three children are not holding saplings.,The three children are not holding plants.,neutral,saplings,plants,4,"The three children are not in the classroom, but they are holding saplings.","The three children are not in the classroom, but they are holding plants.",entailment
28,The three children are not holding plants.,The three children are not holding clovers.,entailment,plants,clovers,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding clovers.",neutral
29,The three children are not holding clovers.,The three children are not holding plants.,neutral,clovers,plants,4,"The three children are not in the classroom, but they are holding clovers.","The three children are not in the classroom, but they are holding plants.",entailment
30,The three children are not holding plants.,The three children are not holding shrubs.,entailment,plants,shrubs,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding shrubs.",neutral
31,The three children are not holding shrubs.,The three children are not holding plants.,neutral,shrubs,plants,4,"The three children are not in the classroom, but they are holding shrubs.","The three children are not in the classroom, but they are holding plants.",entailment
32,The three children are not holding plants.,The three children are not holding weeds.,entailment,plants,weeds,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding weeds.",neutral
33,The three children are not holding weeds.,The three children are not holding plants.,neutral,weeds,plants,4,"The three children are not in the classroom, but they are holding weeds.","The three children are not in the classroom, but they are holding plants.",entailment
34,The three children are not holding plants.,The three children are not holding lilacs.,entailment,plants,lilacs,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding lilacs.",neutral
35,The three children are not holding lilacs.,The three children are not holding plants.,neutral,lilacs,plants,4,"The three children are not in the classroom, but they are holding lilacs.","The three children are not in the classroom, but they are holding plants.",entailment
36,The three children are not holding plants.,The three children are not holding sunflowers.,entailment,plants,sunflowers,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding sunflowers.",neutral
37,The three children are not holding sunflowers.,The three children are not holding plants.,neutral,sunflowers,plants,4,"The three children are not in the classroom, but they are holding sunflowers.","The three children are not in the classroom, but they are holding plants.",entailment
38,The three children are not holding plants.,The three children are not holding vines.,entailment,plants,vines,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding vines.",neutral
39,The three children are not holding vines.,The three children are not holding plants.,neutral,vines,plants,4,"The three children are not in the classroom, but they are holding vines.","The three children are not in the classroom, but they are holding plants.",entailment
40,The three children are not holding plants.,The three children are not holding reeds.,entailment,plants,reeds,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding reeds.",neutral
41,The three children are not holding reeds.,The three children are not holding plants.,neutral,reeds,plants,4,"The three children are not in the classroom, but they are holding reeds.","The three children are not in the classroom, but they are holding plants.",entailment
42,The three children are not holding plants.,The three children are not holding tulips.,entailment,plants,tulips,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding tulips.",neutral
43,The three children are not holding tulips.,The three children are not holding plants.,neutral,tulips,plants,4,"The three children are not in the classroom, but they are holding tulips.","The three children are not in the classroom, but they are holding plants.",entailment
44,The three children are not holding plants.,The three children are not holding roses.,entailment,plants,roses,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding roses.",neutral
45,The three children are not holding roses.,The three children are not holding plants.,neutral,roses,plants,4,"The three children are not in the classroom, but they are holding roses.","The three children are not in the classroom, but they are holding plants.",entailment
46,The three children are not holding plants.,The three children are not holding houseplants.,entailment,plants,houseplants,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding houseplants.",neutral
