,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex,group_index,sentence1_edited,sentence2_edited,gold_label_edited
0,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sunhat staring at people on a subway.,entailment,hat,sunhat,0,It is not the case that there is a man not wearing a hat staring at people on a subway.,It is not the case tsunhat there is a man not wearing a sunhat staring at people on a subway.,neutral
1,There is a man not wearing a sunhat staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sunhat,hat,0,It is not the case tsunhat there is a man not wearing a sunhat staring at people on a subway.,It is not the case that there is a man not wearing a hat staring at people on a subway.,entailment
2,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a sombrero staring at people on a subway.,entailment,hat,sombrero,0,It is not the case that there is a man not wearing a hat staring at people on a subway.,It is not the case tsombrero there is a man not wearing a sombrero staring at people on a subway.,neutral
3,There is a man not wearing a sombrero staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,sombrero,hat,0,It is not the case tsombrero there is a man not wearing a sombrero staring at people on a subway.,It is not the case that there is a man not wearing a hat staring at people on a subway.,entailment
4,There is a man not wearing a hat staring at people on a subway.,There is a man not wearing a fedora staring at people on a subway.,entailment,hat,fedora,0,It is not the case that there is a man not wearing a hat staring at people on a subway.,It is not the case tfedora there is a man not wearing a fedora staring at people on a subway.,neutral
5,There is a man not wearing a fedora staring at people on a subway.,There is a man not wearing a hat staring at people on a subway.,neutral,fedora,hat,0,It is not the case tfedora there is a man not wearing a fedora staring at people on a subway.,It is not the case that there is a man not wearing a hat staring at people on a subway.,entailment
6,Some dishes do not have rice.,Some dishes do not have food.,neutral,rice,food,1,There is no way that some dishes do not have rice.,There is no way that some dishes do not have food.,entailment
7,Some dishes do not have food.,Some dishes do not have rice.,entailment,food,rice,1,There is no way that some dishes do not have food.,There is no way that some dishes do not have rice.,neutral
8,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a work-shirt, is sitting on a rock",entailment,shirt,work-shirt,2,It is a lie that a man who was not going to not wear a shirt is sitting on a rock.,It is a lie that a man who was not going to not wear a work-shirt is sitting on a rock.,neutral
9,"A man, not wearing a work-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,work-shirt,shirt,2,It is a lie that a man who was not going to not wear a work-shirt is sitting on a rock.,It is a lie that a man who was not going to not wear a shirt is sitting on a rock.,entailment
10,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a T-shirt, is sitting on a rock",entailment,shirt,t-shirt,2,It is a lie that a man who was not going to not wear a shirt is sitting on a rock.,It is a lie that a man who was not going to not wear a t-shirt is sitting on a rock.,neutral
11,"A man, not wearing a T-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,t-shirt,shirt,2,It is a lie that a man who was not going to not wear a t-shirt is sitting on a rock.,It is a lie that a man who was not going to not wear a shirt is sitting on a rock.,entailment
12,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a work-shirt is walking holding a tree branch near the park.,entailment,shirt,work-shirt,3,The statement that there is not a boy not wearing a shirt holding a tree branch near the park is untrue.,The statement that there is not a boy not wearing a work-shirt holding a tree branch near the park is untrue.,neutral
13,A boy not wearing a work-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,work-shirt,shirt,3,The statement that there is not a boy not wearing a work-shirt holding a tree branch near the park is untrue.,The statement that there is not a boy not wearing a shirt holding a tree branch near the park is untrue.,entailment
14,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a T-shirt is walking holding a tree branch near the park.,entailment,shirt,t-shirt,3,The statement that there is not a boy not wearing a shirt holding a tree branch near the park is untrue.,The statement that there is not a boy not wearing a t-shirt holding a tree branch near the park is untrue.,neutral
15,A boy not wearing a T-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,t-shirt,shirt,3,The statement that there is not a boy not wearing a t-shirt holding a tree branch near the park is untrue.,The statement that there is not a boy not wearing a shirt holding a tree branch near the park is untrue.,entailment
16,The three children are not holding plants.,The three children are not holding daisies.,entailment,plants,daisies,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding daisies is untrue.,neutral
17,The three children are not holding daisies.,The three children are not holding plants.,neutral,daisies,plants,4,The statement that the three children are not planning on not holding daisies is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
18,The three children are not holding plants.,The three children are not holding herbs.,entailment,plants,herbs,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding herbs is untrue.,neutral
19,The three children are not holding herbs.,The three children are not holding plants.,neutral,herbs,plants,4,The statement that the three children are not planning on not holding herbs is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
20,The three children are not holding plants.,The three children are not holding lilies.,entailment,plants,lilies,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding lilies is untrue.,neutral
21,The three children are not holding lilies.,The three children are not holding plants.,neutral,lilies,plants,4,The statement that the three children are not planning on not holding lilies is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
22,The three children are not holding plants.,The three children are not holding flowers.,entailment,plants,flowers,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding flowers is untrue.,neutral
23,The three children are not holding flowers.,The three children are not holding plants.,neutral,flowers,plants,4,The statement that the three children are not planning on not holding flowers is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
24,The three children are not holding plants.,The three children are not holding poppies.,entailment,plants,poppies,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding poppies is untrue.,neutral
25,The three children are not holding poppies.,The three children are not holding plants.,neutral,poppies,plants,4,The statement that the three children are not planning on not holding poppies is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
26,The three children are not holding plants.,The three children are not holding saplings.,entailment,plants,saplings,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding saplings is untrue.,neutral
27,The three children are not holding saplings.,The three children are not holding plants.,neutral,saplings,plants,4,The statement that the three children are not planning on not holding saplings is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
28,The three children are not holding plants.,The three children are not holding clovers.,entailment,plants,clovers,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding clovers is untrue.,neutral
29,The three children are not holding clovers.,The three children are not holding plants.,neutral,clovers,plants,4,The statement that the three children are not planning on not holding clovers is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
30,The three children are not holding plants.,The three children are not holding shrubs.,entailment,plants,shrubs,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding shrubs is untrue.,neutral
31,The three children are not holding shrubs.,The three children are not holding plants.,neutral,shrubs,plants,4,The statement that the three children are not planning on not holding shrubs is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
32,The three children are not holding plants.,The three children are not holding weeds.,entailment,plants,weeds,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding weeds is untrue.,neutral
33,The three children are not holding weeds.,The three children are not holding plants.,neutral,weeds,plants,4,The statement that the three children are not planning on not holding weeds is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
34,The three children are not holding plants.,The three children are not holding lilacs.,entailment,plants,lilacs,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding lilacs is untrue.,neutral
35,The three children are not holding lilacs.,The three children are not holding plants.,neutral,lilacs,plants,4,The statement that the three children are not planning on not holding lilacs is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
36,The three children are not holding plants.,The three children are not holding sunflowers.,entailment,plants,sunflowers,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding sunflowers is untrue.,neutral
37,The three children are not holding sunflowers.,The three children are not holding plants.,neutral,sunflowers,plants,4,The statement that the three children are not planning on not holding sunflowers is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
38,The three children are not holding plants.,The three children are not holding vines.,entailment,plants,vines,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding vines is untrue.,neutral
39,The three children are not holding vines.,The three children are not holding plants.,neutral,vines,plants,4,The statement that the three children are not planning on not holding vines is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
40,The three children are not holding plants.,The three children are not holding reeds.,entailment,plants,reeds,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding reeds is untrue.,neutral
41,The three children are not holding reeds.,The three children are not holding plants.,neutral,reeds,plants,4,The statement that the three children are not planning on not holding reeds is untrue.,The statement that the three children are not planning on not holding plants is untrue.,entailment
42,The three children are not holding plants.,The three children are not holding tulips.,entailment,plants,tulips,4,The statement that the three children are not planning on not holding plants is untrue.,The statement that the three children are not planning on not holding tulips is untrue.,neutral
